|29|,|7030|,|243|,|1005|,|0|,|3146.4|,|3146.4|,|2007-03-29|,|parcela 2 do Website Departida|,|15|,|0|
|30|,|6991|,|126|,|989|,|0|,|759.36|,|759.36|,|2007-03-29|,|upgrade website riscali- coluna de utilidades|,|10|,|0|
|31|,|6936|,|246|,|1027|,|470|,|2800|,|2758|,|2007-04-03|,|Sistema de pesquisa e segmentação mercadológica. a ser usada pela Digital Group. junto aos seus clientes.|,|10|,|16|
|32|,|7039|,|251|,|1072|,|0|,|2000|,|2000|,|2007-04-04|,|concepçao de logomarca e fundo de reserva para website|,|15|,|0|
|33|,|7007|,|207|,|735|,|471|,|2412.18|,|2376|,|2007-04-09|,|Parcela 1 de 2 referente a OS 002 de desenvolvimento e

implantação de adequações nos módulos KChamados e KSales do sistema Okube.|,|10|,|21|
|34|,|7026|,|237|,|987|,|472|,|16334.6|,|15330|,|2007-04-09|,|Parcela única referente a OS de desenvolvimento e implantação do SGV Compact

(Emplacamentos) conforme OS 001|,|14|,|16|
|35|,|6947|,|181|,|394|,|473|,|7358.3|,|6905.76|,|2007-04-10|,|Elaboracao de programas software. Conforme OS-SF-001. OS-SF-002. OS-SF-005. OS-SF-028 e SF-1024.|,|6|,|21|
|36|,|6947|,|181|,|342|,|478|,|5488.76|,|5151.2|,|2007-04-10|,|Elaboracao de programas software. Conforme OS-SF-001. OS-SF-002. OS-SF-005. OS-SF-028 e SF-1024.|,|6|,|21|
|37|,|7007|,|207|,|986|,|479|,|2412.18|,|2376|,|2007-04-10|,|Parcela 2 de 2 referente a OS 002 de desenvolvimento e implantação de adequações nos módulos KChamados e KSales do sistema Okube.|,|10|,|21|
|38|,|7007|,|207|,|1036|,|480|,|997.34|,|936|,|2007-04-16|,|Parcela única referente a OS 004 de desenvolvimento e implantação de adequações no módulo KChamados do sistema Okube.|,|10|,|21|
|39|,|2|,|102|,|676|,|481|,|1700|,|1674.5|,|2007-04-16|,|Parcela referente a manutenção do mês de março/2007 das funcionalidades

existentes no SisconDJ instalado no TJMT|,|0|,|16|
|40|,|7031|,|247|,|1028|,|481|,|1700|,|1674.5|,|2007-04-16|,|Parcela referente a manutenção do mês de março/2007 das funcionalidades

existentes no SisconDJ instalado no TJAM|,|0|,|16|
