"teste.usu2","2","1","S","carlos.arruda","2017-11-10 12:23:19"
"julio.santos","4","1","N","carlos.arruda","2017-11-10 12:23:19"
"francisco.ogatha","16","1","S","carlos.arruda","2017-11-10 12:23:19"
"rodrigo.paulino","5","1","N","carlos.arruda","2017-11-10 12:23:19"
"glauco.sassaki","9","1","N","carlos.arruda","2017-11-10 12:23:19"
"rodrigo.areco","12","1","N","carlos.arruda","2017-11-10 12:23:19"
"marcio.paulino","15","1","N","carlos.arruda","2017-11-10 12:23:19"
"bruno.freitas","1","1","S","carlos.arruda","2017-11-10 12:23:19"
"jonatan.perim","5","1","N","carlos.arruda","2017-11-10 12:23:19"
"dimas.junior","11","1","N","carlos.arruda","2017-11-10 12:23:19"
"rodrigo.toledo","13","1","S","contato","2017-11-10 12:23:19"
"fernando.marinho","1","1","N","carlos.arruda","2017-11-10 12:23:19"
"camila.candido","14","1","N","carlos.arruda","2017-11-10 12:23:19"
"daniel.pires","15","1","N","carlos.arruda","2017-11-10 12:23:19"
"fabiano.pontes","2","1","N","carlos.arruda","2017-11-10 12:23:19"
"marcelo.madruga","9","1","N","carlos.arruda","2017-11-10 12:23:19"
"fabricio.silveira","13","1","N","carlos.arruda","2017-11-10 12:23:19"
"liana.duenha","1","1","N","carlos.arruda","2017-11-10 12:23:19"
"alex.wassano","5","1","N","carlos.arruda","2017-11-10 12:23:19"
"felipe.correa","16","1","S","contato","2017-11-10 12:23:19"
"og.menezes","5","1","N","carlos.arruda","2017-11-10 12:23:19"
"michele.freitas","14","1","N","carlos.arruda","2017-11-10 12:23:19"
"felipe.chahad","2","1","S","carlos.arruda","2017-11-10 12:23:19"
"paulo.moacir","11","1","N","carlos.arruda","2017-11-10 12:23:19"
"eric.shibayama","14","1","N","carlos.arruda","2017-11-10 12:23:19"
"wagner.alves","15","1","N","carlos.arruda","2017-11-10 12:23:19"
"abner.silva","9","1","N","carlos.arruda","2017-11-10 12:23:19"
"wilfried.schooneman","2","1","N","carlos.arruda","2017-11-10 12:23:19"
"jefferson.silva","16","1","S","carlos.arruda","2017-11-10 12:23:19"
"anapaula.chiodaro","2","1","S","carlos.arruda","2017-11-10 12:23:19"
"marcel.sobral","2","1","N","carlos.arruda","2017-11-10 12:23:19"
"raphael.araujo","13","1","S","carlos.arruda","2017-11-10 12:23:19"
"helsen.rossi","6","1","N","carlos.arruda","2017-11-10 12:23:19"
"alessandro.gonzalez","5","1","N","carlos.arruda","2017-11-10 12:23:19"
"alexandre.rodrigues","2","1","N","carlos.arruda","2017-11-10 12:23:19"
"agence.ms","1","1","S","carlos.arruda","2017-11-10 12:23:19"
"tiago.stutz","14","1","N","carlos.arruda","2017-11-10 12:23:19"
"davys.fellipe","14","1","S","carlos.arruda","2017-11-10 12:23:19"
"fernando.cezar","14","1","S","contato","2017-11-10 12:23:19"
"ricardo.silva","14","1","S","carlos.arruda","2017-11-10 12:23:19"
"saulo.coelho","16","1","S","carlos.arruda","2017-11-10 12:23:19"
"rodrigo.soler","14","1","N","carlos.arruda","2017-11-10 12:23:19"
"heber.moreira","15","1","N","carlos.arruda","2017-11-10 12:23:19"
"ricardo.burile","9","1","S","contato","2017-11-10 12:23:19"
"moises.rovani","15","1","N","carlos.arruda","2017-11-10 12:23:19"
"rafael.sierra","13","1","N","carlos.arruda","2017-11-10 12:23:19"
"leonardo.silva","14","1","N","carlos.arruda","2017-11-10 12:23:19"
"marcelo.luz","13","1","N","carlos.arruda","2017-11-10 12:23:19"
"alfeu.vilela","2","1","N","carlos.arruda","2017-11-10 12:23:19"
"jonas.morais","12","1","S","contato","2017-11-10 12:23:19"
"aline.chastel","1","1","S","carlos.arruda","2017-11-10 12:23:19"
"marcio.oliveira","10","1","S","contato","2017-11-10 12:23:19"
"renato.pereira","2","1","S","carlos.arruda","2017-11-10 12:23:19"
"jesse.lucas","13","1","N","carlos.arruda","2017-11-10 12:23:19"
"gabriel.verta","13","1","S","carlos.arruda","2017-11-10 12:23:19"
